"","PROBEID","ENTREZID","SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1724","TC1200008678.hg.1","493861","EID3",-0.8536217,4.889084,-3.824784,0.001082847,0.002901829,-1.289195
"1725","TC1900011816.hg.1","79744","ZNF419",0.9907452,4.724117,3.824335,0.001083975,0.002903167,-1.290215
"1726","TC1200012842.hg.1","51434","ANAPC7",1.0077,5.786956,3.823244,0.001086721,0.002908836,-1.292694
"1727","TC1900010008.hg.1","80726","IQCN",0.8145986,5.897924,3.822294,0.001089119,0.002913567,-1.294853
"1728","TC0X00007573.hg.1","8473","OGT",0.9753094,8.26646,3.822021,0.00108981,0.002913727,-1.295474
"1729","TC0600011162.hg.1","79692","ZNF322",1.255088,3.709939,3.821145,0.001092026,0.002917964,-1.297464
"1730","TC1700008350.hg.1","9241","NOG",0.9156418,4.769991,3.81792,0.001100225,0.002938172,-1.30479
"1731","TC0500013174.hg.1","3796","KIF2A",-1.123797,7.222377,-3.814563,0.001108823,0.002959423,-1.312414
"1732","TC2200006894.hg.1","51733","UPB1",-0.971925,4.735226,-3.813821,0.001110733,0.002962811,-1.3141
"1733","TC0400011395.hg.1","1977","EIF4E",-0.7706299,5.422464,-3.812568,0.001113965,0.002969716,-1.316946
"1734","TC0900011501.hg.1","2649","NR6A1",-0.828244,4.337434,-3.811423,0.001116926,0.00297543,-1.319545
"1735","TC1900010943.hg.1","6253","RTN2",-0.8508317,5.096419,-3.811242,0.001117396,0.00297543,-1.319958
"1736","TC1200009590.hg.1","196513","DCP1B",1.482411,4.752034,3.810606,0.001119045,0.002978105,-1.321402
"1737","TC0500013212.hg.1","6728","SRP19",-1.155417,5.403901,-3.809412,0.001122147,0.002983942,-1.324112
"1738","TC0500008705.hg.1","79770","TXNDC15",0.9538235,5.892752,3.809265,0.001122531,0.002983942,-1.324447
"1739","TC0900008959.hg.1","8939","FUBP3",0.8621869,5.757573,3.808826,0.001123673,0.00298526,-1.325443
"1740","TC0200010795.hg.1","6556","SLC11A1",-1.172629,8.716995,-3.808206,0.001125291,0.002987841,-1.326852
"1741","TC2100006960.hg.1","3454","IFNAR1",-1.049885,6.667049,-3.807621,0.001126817,0.002990175,-1.328179
"1742","TC1100008010.hg.1","10435","CDC42EP2",0.8174412,7.142356,3.802688,0.001139781,0.00302284,-1.33938
"1743","TC0800007110.hg.1","2053","EPHX2",0.9740382,3.649194,3.798384,0.001151212,0.003051404,-1.34915
"1744","TC2100007321.hg.1","8566","PDXK",-0.7578975,6.796467,-3.797282,0.001154158,0.00305746,-1.351652
"1745","TC0100012496.hg.1","65220","NADK",-0.8194517,8.477143,-3.795454,0.00115906,0.003068686,-1.355802
"1746","TC1300009273.hg.1","170622","COMMD6",-1.456447,5.295274,-3.794554,0.001161481,0.003073335,-1.357844
